TicketId,Text
1,درود محتوا جلسه مهلت ارسال تکلیف محتوا محتوا جلسه نمایش
2,مهلت ارسال تکلیف تمدید تعریف تابع پایتون مشکل چیکار جواب
2,فرق نویز پرت
3,امتحان مهلت جبران
3,قسمت تمدید امتیاز یادگیری ماشین فیلم دوره
3,
4,کادر عذر حین دیدن قسمت یادگیری ماشین سوال پاسخ ثبت نمره صفر گرف اتفاق پیگیری  سوال قسمت
5,نظر خبر خوب کار  کمک امتیاز افزایش آزمون کار سوال شه
5,لایوتان افتتاحیه نتیجه قرعه کش چیز
5,تمرین نیاز توضیح فایل کد پایتون
5,سوال فایل پایتون ارسال مشکل
5,اهان
5,
5,پیشنهاد ماهی هفته ویدیو اموزشی بک دوره دوره حجم مطلب دوره مطلب جلسه یاد بیاد ادامه جلسه یادگیری نظارت یاد کمه چالش مثال وقت پیشنهاد اجرا
5,اهان گود کمپ جدول امتیازی تیم
5,ماشین قسمت سوال جواب سوال جواب بغد پاسخ سوال ظاهر
5,
5,یادگیری مطلب دوره پردازش متن یادگیری سال طول یاد بنده دوره یاد ادامه نظر طول یادگیری شروع کار
5,
5,اوک قبل دقیقه واز
5,سوال محور مسابقه اموزش امادگی کفایت
6,وقت اموزش برنامه نویس قسمت سوال ایراد ایراد سوال پاسخ ثبت مدرس پاسخ راه دسترسی جزء مجموعه پاسخ ثبت مدرس قسمت یاد جزء مجموعه دسترسی پیگیری امتیاز موضوع دست
6, سوال جواب قسمت برنامه نویس پایتون سه بررسی  اشتباه
6,امتیاز تمرین اعتراض اطلاعیه روند مهلت تمرین سایت موقع حل ماه مهلت تمرین تمدید فرصت فرستادیم  فرصت هفته اطلاعیه حساب جلسه
7,راه دانلود فیلم کیفیت آموزش پایتانتان چجوری دوستام
8, ویدیو مشاهده ارور
9,
10,ویدیو خانم پور بهمن سوال جواب امتیاز ثبت دلیل ویدیو مشاهده امکان اجازه تکلیف بازگزاری ویدیو
11,موضوع اس کد پایتانم ذره تره دان پایتون اینستال ترمینال کار  تکلیف ترمینال کار تکلیف امکان تکلیف
11,بنده نصب کتابخانه مشکل کمک
12,کانال اطلاع رس بورد عضو منو عضو
13,پیام ارسال پیام پیام راست بنده فیلم اشنا یادگیری ماشین مهلت ارسال مهلت قسمت جلسه قسمت اشنا مفهوم یادگیری ماشین تکلیف ارسال پیام کار ارور فرمت انتخاب حالی قبل تکلیف آماده فرمت یاد دقت تمرین قسمت قسمت  کمک فایل مهلت ارسال عذر موضوع تیک اموزشی موضوع سایت موضوع
14,سوال تمرین بررسی اشتباه حل فایل ارسال نمره کسر امتیاز قراره کسر دوست سوال سوال بچه آینه رویداد جایزه گروه جایزه سوال جایزه رتبه بند لیست نفره نفر جایزه  سوال بچه مدرسه پاسخ
14,سوال آموزش خا مد سه هفته خاطر امتحان برگزاری قسمت رویداد انتخاب موضوع تخصصی آموزش فاز تعویق
14,رابطه پیام گروه برد اشتباه افتتاحیه نظر رکورد شخص جهان المپیک ورزشکار سوید دوپلانتیس شخص رکورد
14,چشم
14,نباشید قسمت چالش مجموعه ورودی برنامه چالش کار آموزش تحقیق مجموعه صحت درصد کار برنامه  توضیح تحقیق نتیجه
14,سوال قسمت جلسه الگوریتم یادگیری سوال گزینه گزینه سامانه گزینه
14,CNN قسمت امتیاز
14,قسمت شبکه قسمت دانلود تمرین مشکل تمرین قسمت شبکه دنباله دنباله بارگذاری
14,فایل برای  ارزیابی امتیاز کد عکس کار برنامم کار صلاح
14,تمرین جلسه مدل نوع امتیاز توضیح خروجی حالی سوال فرض دیتا عکس تعداد آموزش شبکه کمک شبکه الگوریتم عکس دیتا تولید دیتا گسترش کد کار سوال سوال تصویر چاپ جواب
15,مشکل پشتیبانی پاسخ تیک
16,خدمت مرحله اجرا خروجی کال مشکل
17,محتوا قسمت نصب برنامه پایتون ثانیه دقیقه ثانیه مرحله نصب کد نویس اجرا آموزش اکستنشن پایتون نصب پایید صفحه پیام نصب اکستنشن پایتون
18,جلسه حل تمرین
19,پایتون قسمت ویدیو سوال تیک ویدیو مکان بیان سوال بررسی
20,سوال پشتیبانی اموزشی اشتباه درآمد مهندس هوش گوگل انتخاب زحمت
20,اس کد  اجرا مثلث هیج اتفاقی کد اجرا چیکار
20,
21,فیلم  یادگیری یاد چیکار
22,فایل پایتون ورد زیپ ارسال تکلیف کد فایل ورد کپی
22,
22,سفارش سیمکارت مشکل  راهنمایی
23,درود خدمت اوپراتور اینجانب خاطر حرف هارا تیم قدرت مند کیبرد
24,حال ذوق ثبت عاشق هوش چالش زندگی اردیبهشت روبه منو دور دسترسی ارسال تکلیف خرداد هم ادامه امتیاز عمق
