TicketId,Text
1,"سلام و درود.من تازه موفق شدم محتوای جلسه اول رو ببینم،اما چون مهلت ارسال تکالیف ایم محتوا تمام شده است بنایراین محتوای جلسه دوم برای من نمایش داده نمی شود.تکلیف چیست و چه باید بکنم؟"
2,"لطفأ مهلت ارسال تکالیف رو تمدید کنید، من توی تعریف تابع در پایتون مشکل دارم، چیکار باید کنم؟ ضمنا خیلی دیر جواب میدین"
2,سلام خسته نباشید!ببخشید فرق داده نویز با داده پرت چیه؟؟؟؟؟؟؟
3,ببخشید من تا امروز امتحان داشتم فقط یه روز به من مهلت بدید من جبران میکنم ترخداا
3,اگر قسمت 3 و4 تمدید نکنید 65 امتیاز از من میپره . برای یادگیری ماشین فیلم های دوره های خارجی مناسب هست؟
3,ممنون
4,سلام خسته نباشید به کادر آموزشی عذر خواهی میکنم ولی من حین دیدن یکی از قسمت یادگیری ماشین سوالات را بدون اینکه پاسخ دهم برای زده و ثبت شده و نمره صفر گرفتم این بار دوم هستش که برام این اتفاق می افته لطفا پیگیری کنید و اگر میشه سوالات اون قسمت رو برام دوباره فعال کنید ممنون میشم 
5,سلام. به نظرم خبر خوبتون اینه یه کاری میکنین که کمک به امتیاز و افزایش آن باشه. مثلا آزمونی در بیارید یا انجام کاری را در خواست کنید یا سوالات بیشتر شه یا ... خلاصه
5,سلام من نتونستم لایوتون را ببینم افتتاحیه نتایج قرعه کشی و چیزای مهم را از کجا میتونم ببینم؟
5,سلام تمرینات پایتونی که نیازی به توضیح نداره فایل کد پایتون را بفرستیم که در vscode بود؟
5,و سوال 2 این که اگر vscode نداشتیم و یک فایل پایتون دیگه ارسال کنیم مشکلی که ندارد؟
5,اهان مرسی تشکر 
5,مرسی
5,من یک پیشنهاد داشتم این که اگر میشود مثلا یه 1 ماهی یا حالا 2 هفته ای را ویدیو اموزشی ندهید تا ما هم بتوانیم خودمان را برسانیم هم این که بتوانیم بک دوره ای داشته باشیم روی مطالب. بیشتر روی دوره میگم که چون حجم مطالب زیاد هستش بتونیم یه دوره کنیم و مطالب جلسات اول یادمون بیاد بعد بتونیم بهتر ادامه بدیم. مثلا من خودم جلسات یادگیری بدون نظارت را کم یادم میاد و خب چون زمان کمه و باید چالش را برای مثال انجام دهم وقت آن را ندارم. حالا اگر میشود این پیشنهاد را اجرا کنید..
5,اهان مرسی. فقط گود کمپ برای چه کسانی میباشد؟ و این جدول امتیازی باز هم مثلا برای تیم ها هم هست؟
5,سلام. ببخشید من الگوریتم های پیاده سازی ماشین بخش 2 قسمت 1 من به سوال 1 که جواب دادم سوالات بعدی اصلا نیمد که من جواب بدم بغد نوشته پاسخ ندادید اصلا سوال برام ظاهر نشد؟؟ چه کنم؟
5,؟
5,سلام. یادگیری این مطالب که در این دوره مخصوصا پردازش متن و یادگیری عمیق چند سال حدودا طول میکشد که کاملا یاد بگیریم. یعنی الان که 15  سالم هست بنده و این دوره را که کاملا تمام کنم و بتونم یاد بگیرم و در ادامه به نظرتون چقدر طول میشکد که یادگیری کامل شود و شروع به کار شویم.؟؟
5,بسیار عالی
5,اوکی درست شد قبلش ۵ دقیقه واز نمیشد فرداش اوکی شد
5,ببشخید یک سوال دیگه این که محور اصلی مسابقه خیلی مسعله پیچیده ای است؟ یعنی باید به طور کامل مسلط باشیم روی تمام اموزش ها یا نه امادگی نسبی نیز کفایت میکند؟
6,سلام و وقت بخیر توی اموزش برنامه نویسی پایتون(3) قسمت 2 سوال سوم ایراد دارد و ایرادش آن است که وقتی به سوال پاسخ دادم و ثبت شد مدرس بعد از آن پاسخ را گفت یعنی نوشته بود هیچ راهی برای دسترسی به اجزای مجموعه وجود ندارد که واقعا هم نگفته شده بود ولی به محض اینکه پاسخ را دادم و ثبت شد مدرس گفت که در قسمت بعد یاد میگیریم که چطور به اجزای مجموعه دسترسی داشته باشیم .  لطفا این مورد را پیگیری کنید من دو امتیاز سر این موضوع از دست دادم. خیلی ممنون
6,و یک چیز دیگه اینکه میشه سوال و جواب های قسمت 4 برنامه نویسی پایتون سه را بگید چون من تا جایی که بررسی کردم همه را درست گفتم ولی 4 از 6 شدم اگه میشه بدید ببینم کجا را اشتباه زدم
6,سلام خسته نباشید  من به امتیاز تمرین ها اعتراض دارم چونکه اطلاعیه روند جدید مهلت تمرین ها تازه دیروز توی سایت اومد و من اون موقع دیدم چطوری باید همون روز همه را حل میکردم و یک چیز دیگه هم اینکه وقتی بعد از چند ماه میاید و مهلت همه تمرین ها را تمدید میکنید حق ما که سر فرصت فرستادیم ضایع میشه اگه میشه یه فرصت دیگه بدید یا حداقل یه هفته را از بعد وقتی که اطلاعیه دادید حساب کنید برای جلسه هفتم
7,"ببخشید هیچ راهی برای دانلود فیلم ها نیست. کیفیت آموزش پایتونتون خیلی خوبه، چجوری میتونم به دوستام بدم؟ "
8,سلام خسته نباشید چرا وقتی میخوام ویدیوی آموزشی رو مشاهده کنم با این ارور مواجه میشم :  Cannot read properties of  (reading 'split') 
9,la;g pg an
10,با سلام. من  دوهفته پیش  ویدیو سوم خانم پور بهمن رو دیدم و وقتی به سوال ها جواب میدم برام امتیاز ثبت نمیشه و به همین دلیل نمی تونم ویدیو های دیگر را مشاهده کنم . امکان داره که بهم اجازه داده بشه تا تکالیف را بازگزاری کنم تا بتونم ویدیو های بعد را ببینم 
11,سلام خسته نباشید دو تا موضوع هست که میخوام بگم اول اینکه من وی اس کد و پایتونم یه ذره جدید تره برای همین نمیدونم چطوری بیام و پایتون رو اینستال کنم و همچنین ترمینالم کار نمیکنه  دوم اینکه تکالیف برای من بسته شده من وقتی ترمینالم کار نمیکنه نمیتونستم تکلیف انجام بدم  برای همین اگر امکان داره تکالیف رو برای دو روز باز کنید  ممنون   
11,سلام خسته نباشید. بنده در نصب کتابخانه ها مشکل دارم لطفا کمک کنید
12,سلام من تو کانال اطلاع رسانی شاد کی‌بورد عضو نیستم منو عضو کنید
13,"سلام و وقت بخیر ، من یک پیام برای شما ارسال کردم و خیلی طولانی بود ، گفتم در یک پیام به طور مختصر پیام بدم ، راستش بنده فیلم های اشنایی یادگیری ماشین را قبل از مهلت ارسال دیده بودم ، بعد از اینکه مهلت تموم شد دیدم اشتباها یکی از قسمت های همین جلسه ، یعنی قسمت 3 اشنایی با مفاهیم یادگیری ماشین را تکلیفش را نفرستادم ، دیدم هنوز ارسال پیام باز هست ولی هر کاری کردم ارور میداد "" تنها فرمت های قابل انتخاب میشوند "" ، در حالی که من از قبلش تکلیف را اماده داشتم و حتی فرمت pdf بود و اشتباها یادم رفت بفرستم ، و وقتی بیشتر دقت کردم دیدم تمرین این قسمت رو برای قسمت 5 فرستادم . اگر میشه کمک کنید من بتونم این دو فایل رو دوباره بفرستم چون قبل از مهلت ارسال اماده بود و من بعدش فهمیدم . فقط عذر خواهی می کنم که موضوع تیکت را اموزشی زدم ، ولی موضوعش غیر اموزشی هست ، چون سایت نمی گذاشت با این موضوع بفرستم . با تشکر ."
14,"سلام خسته نباشید. یه سوال داشتم، تمرین ها کی بررسی میشن؟ اگه کسی تمرینی رو اشتباه حل کرده باشه یا فایل نامربوط و یا خالی ارسال کنه، نمره ای ازش کسر میشه؟ این امتیاز ها کی قراره کسر بشن؟ اینم از مواردی بود که دوستانمون هم سوال داشتن. یه سوال دیگه ای که زیاد بچه ها پرسیدن، اینه که آیا در این رویداد هم گروهبندی میشیم؟ در آخر جوایز چطور خواهند بود؟ به گروه های برتر جایزه داده میشه؟ و سوال آخر  اینکه جوایز بخش رتبه بندی انفرادی که در لیست نفرات برتر مشخص هستند، چیه؟ به چند نفر برتر جایزه داده میشه؟ اینا چندتا سوالات بچه های مدرسه مون و خودم بود. خیلی ممنون از پاسخگویی تون"
14,"ببخشید فقط یکی دیگه سوال الان که آموزش خا به مدا سه هفته به خاطر امتحانات متوقف شده زمان برگزاری قسمت های دیگر رویداد مثل ""فرآیند انتخاب موضوع تخصصی"" یا ""آموزش های فاز دوم (تخصصی)"" هم به تعویق می افتد یا خیر ؟"
14,راستی در رابطه با پیامی که در گروه کی برد گذاشته شده که دومین اشتباه افتتاحیه چی بوده به نظرم این بوده که رکورد بالا ترین شخص در جهان رو دیروز در المپیک توسط ورزشکار سوئدی (آرماند دوپلانتیس) زده شده و الان این شخص رکورد دار و بالاترین هست 
14,چشم حتما
